iter	Accuracy	MultiClass
87	0.6924895104	0.7778222789
88	0.6931557699	0.7759585083
89	0.6939806626	0.7737507858
90	0.6947976237	0.7721465042
91	0.6963918875	0.7702379423
92	0.6971453953	0.7684338768
93	0.6984937776	0.7667076365
94	0.699279012	0.764866542
95	0.7015633303	0.7625731419
96	0.7020471617	0.7613630336
97	0.7018171435	0.7596099619
98	0.7024675397	0.7582233485
99	0.7034748606	0.7564793526
100	0.7049501495	0.7545945176
101	0.7051643044	0.7532756029
102	0.7065444133	0.7517026359
103	0.7080355656	0.749743902
104	0.7091459981	0.7481688167
105	0.7097963943	0.7469656786
106	0.7109861434	0.7452818279
107	0.711485838	0.7440531089
108	0.7125804072	0.7424427614
109	0.7131435551	0.7413316713
110	0.7135084115	0.7401043137
111	0.7142619193	0.7389473859
112	0.7154754634	0.7372023423
113	0.7158323881	0.735383964
114	0.7167603925	0.7340287713
115	0.7179739366	0.7321290804
116	0.7188781459	0.730879434
117	0.7197268336	0.7299294312
118	0.720535863	0.7288025171
119	0.7212259175	0.7271881354
120	0.7214559357	0.7264599574
121	0.72228876	0.724905864
122	0.7226060265	0.7236020779
123	0.7228915663	0.722697423
124	0.7237957756	0.7212706605
125	0.7245651467	0.7193667162
126	0.7258342124	0.7180718149
127	0.7263180437	0.7168814927
128	0.7267542851	0.715845932
129	0.7276584944	0.7142886103
130	0.7282692323	0.7130570927
131	0.7297286579	0.7119991449
132	0.7299269494	0.7107792973
133	0.7309342703	0.7091320137
134	0.7306407989	0.7082742505
135	0.7316560515	0.706804299
136	0.7330520238	0.7054233196
137	0.7335993084	0.7044380441
138	0.7347335359	0.703057318
139	0.7352649571	0.7020402104
140	0.7352808205	0.7006451315
141	0.7360184649	0.6996995541
142	0.7359550116	0.6984516248
143	0.7360819182	0.6975306502
144	0.7369147426	0.6961108148
145	0.7377317036	0.6948830782
146	0.7380172434	0.6939647577
147	0.7385328014	0.692830171
148	0.7394290791	0.6917335165
149	0.7396670289	0.6904459
150	0.7401032702	0.6896490436
151	0.7403332884	0.6887714861
152	0.7412454294	0.6875673513
153	0.7416261491	0.6864978393
154	0.7426651967	0.6853927875
155	0.7430459164	0.6842223949
156	0.7438232191	0.6828823426
157	0.7450367632	0.6812831725
158	0.7451478065	0.6803180327
159	0.7456237061	0.679538475
160	0.7467420703	0.6783334861
161	0.7473924665	0.6768421385
162	0.7479159561	0.6761163489
163	0.748994662	0.6745925941
164	0.7492246802	0.6738097227
165	0.7495736732	0.6725661061
166	0.749954393	0.6716945691
167	0.7509220556	0.6705200901
168	0.7514217502	0.6693453005
169	0.7518817865	0.6683430703
170	0.7526749526	0.6672946801
171	0.7540867882	0.6655452015
172	0.7548085694	0.6644221344
173	0.7557445053	0.6634538264
174	0.7559269335	0.6628834588
175	0.7562045417	0.6623077994
176	0.7565297398	0.6613470313
177	0.7570452977	0.6602514773
178	0.7572832475	0.6595026622
179	0.757505334	0.6585384953
180	0.7581795252	0.6572932829
181	0.7587981948	0.656296139
182	0.7596865408	0.6552400725
183	0.7601862354	0.6542547711
184	0.7608207683	0.6529345947
185	0.7608445632	0.6518299891
186	0.7613759845	0.6510815341
187	0.7614394378	0.6503613141
188	0.7625498703	0.6492266326
189	0.7635333963	0.64798295
190	0.7641362025	0.646930317
191	0.7646279654	0.6458227509
192	0.7654449265	0.6445595787
193	0.7661270493	0.6436266803
194	0.7670550537	0.6423686292
195	0.7675864749	0.6414605432
196	0.7679275363	0.6406552899
197	0.7680227163	0.6400707538
198	0.7684589576	0.6392788794
199	0.7686493175	0.6384558102
200	0.769315577	0.6372978962
201	0.7700214948	0.6360230654
202	0.770671891	0.6350737862
203	0.7710526107	0.6339867673
204	0.7718933668	0.6327137792
205	0.77195682	0.6318051633
206	0.7728134394	0.6305476741
207	0.773408314	0.6297501362
208	0.7739000769	0.6289918276
209	0.7743125233	0.6283624355
210	0.7746456531	0.6275045813
211	0.7747804913	0.6268017245
212	0.7749470562	0.6262183367
213	0.7753674342	0.625641139
214	0.7754308875	0.6248280066
215	0.7759067871	0.6238442701
216	0.7762716435	0.6231285482
217	0.7765571833	0.6222432611
218	0.7770172196	0.6213841786
219	0.7774693243	0.6205502124
220	0.7785083719	0.619155426
221	0.7789684082	0.6186629772
222	0.779253948	0.6178589561
223	0.7792618796	0.616909736
224	0.7792222213	0.616308876
225	0.7799202075	0.6151559237
226	0.7804357654	0.6144123741
227	0.7813320431	0.6134011864
228	0.7818396694	0.6126565697
229	0.7824266123	0.6118487567
230	0.7828152637	0.61073764
231	0.7830135552	0.6098836291
232	0.7839574228	0.6088625341
233	0.784607819	0.6079530339
234	0.784702999	0.6073482098
235	0.785496165	0.6063976301
236	0.7858610214	0.6057007772
237	0.7863607161	0.6049653399
238	0.7867255725	0.604428029
239	0.7869952489	0.6038375316
240	0.7873363104	0.602969998
241	0.7874552853	0.6019906695
242	0.7878994583	0.6009679186
243	0.7878598	0.6004109493
244	0.788280178	0.599586621
245	0.7885815811	0.5988616122
246	0.788724351	0.5981155803
247	0.7891130024	0.5974995051
248	0.7893588839	0.5969260263
249	0.7896920136	0.5962455225
250	0.7904613847	0.5952723545
251	0.7908103778	0.5945723747
252	0.7915797489	0.5940843305
253	0.7913576624	0.5930516664
254	0.7921666918	0.5918351998
255	0.7926267281	0.5910916807
256	0.7927853613	0.5905191299
257	0.793681639	0.5895793943
258	0.794078222	0.5888955642
259	0.7942606502	0.5881642145
260	0.795061748	0.5873483547
261	0.7952838345	0.5867172724
262	0.7955773059	0.5860676848
263	0.7963070187	0.5852414059
264	0.7967591234	0.5844713872
265	0.7972905447	0.5835524928
266	0.7977347177	0.5829100178
267	0.7983692505	0.5822061631
268	0.7985437471	0.5815008017
269	0.7986785853	0.5807011539
270	0.7989403301	0.5802322912
271	0.7991941433	0.5795557569
272	0.7994876147	0.5789503929
273	0.8000904209	0.5779110281
274	0.8004235507	0.5771694804
275	0.8005583889	0.5765830464
276	0.8007725438	0.5757085163
277	0.8012881017	0.5750334396
278	0.8014863932	0.5744086659
279	0.801771933	0.5737876062
280	0.8020654045	0.5728841604
281	0.8021367894	0.5723060615
282	0.802755459	0.5713758979
283	0.8028585706	0.5707207404
284	0.8037945065	0.5697048571
285	0.8043021328	0.5689809268
286	0.805000119	0.5681687743
287	0.805420497	0.5673703951
288	0.8059677816	0.5666445638
289	0.8064119546	0.5656199811
290	0.8065943828	0.5650034316
291	0.806800606	0.5641875603
292	0.8068561276	0.5636583382
293	0.8073796172	0.5628939383
294	0.8077682686	0.5622752683
295	0.8081886466	0.5615220837
296	0.8088390428	0.5607964698
297	0.8087914528	0.5600858791
298	0.8091087193	0.5593938718
299	0.8094339174	0.5587717118
