Model,Dataset,Accuracy,F1-Score,ROC-AUC
Random Forest,raw_fs,0.7985,0.3017,0.7503
XGBoost,raw_fs,0.8821,0.2486,0.8515
LightGBM,raw_fs,0.6643,0.312,0.8144
Extra Trees,raw_fs,0.7702,0.2957,0.6922
