iter	Logloss
0	0.6278535793
1	0.5710399887
2	0.5229641285
3	0.4788672656
4	0.4442140155
5	0.4144237766
6	0.382378128
7	0.3571889328
8	0.3365914998
9	0.3240201603
10	0.3078326738
11	0.2923567011
12	0.2778374493
13	0.2669938326
14	0.2598272356
15	0.2532234382
16	0.2478291811
17	0.2390840337
18	0.2314906354
19	0.2270657404
20	0.2183101097
21	0.2123457297
22	0.2070893352
23	0.2037205798
24	0.1991131048
25	0.1947579752
26	0.1893404643
27	0.1854698694
28	0.1826202819
29	0.1781681513
30	0.1752778168
31	0.1725658477
32	0.1685321853
33	0.166893845
34	0.1650980686
35	0.1624351504
36	0.1611156367
37	0.1588180126
38	0.1566637703
39	0.1544631009
40	0.1518148357
41	0.1495358312
42	0.147941486
43	0.1463664469
44	0.1454113386
45	0.1442017425
46	0.142554525
47	0.1407645682
48	0.1400674507
49	0.1378808638
50	0.1356014249
51	0.1334415544
52	0.1327815131
53	0.1322465638
54	0.131246967
55	0.1297146991
56	0.1290438938
57	0.1285672343
58	0.1276951471
59	0.1268842617
60	0.1261634845
61	0.1254429968
62	0.1244631887
63	0.1241254012
64	0.1235921637
65	0.1231872497
66	0.1226077045
67	0.1214152715
68	0.120868152
69	0.1204488226
70	0.1199677945
71	0.1192704443
72	0.1190409787
73	0.1188735371
74	0.1184788858
75	0.1180290914
76	0.1171225885
77	0.1169354576
78	0.1162656457
79	0.1159754325
80	0.1152364985
81	0.115066734
82	0.1143243537
83	0.1139050984
84	0.113752208
85	0.1130717013
86	0.1124839095
87	0.1123632452
88	0.1121163155
89	0.1115342233
90	0.1112677733
91	0.1111173383
92	0.1109254587
93	0.1108402394
94	0.1107363906
95	0.1106119421
96	0.1100249191
97	0.1099171819
98	0.1096450571
99	0.1091818939
100	0.1090390725
101	0.1084453316
102	0.1081151398
103	0.108036334
104	0.1077699667
105	0.1075142064
106	0.1071965266
107	0.1071284032
108	0.1070113687
109	0.1067326299
110	0.1065089402
111	0.1064440376
112	0.1063083889
113	0.1060135277
114	0.1059454685
115	0.105768154
116	0.1055997263
117	0.1052437276
118	0.1051672631
119	0.104754265
120	0.104694204
121	0.1046493022
122	0.104586789
123	0.1044074017
124	0.104340339
125	0.1042925943
126	0.1042159654
127	0.1041745279
128	0.1041049884
129	0.104046599
130	0.1039889769
131	0.103933283
132	0.1038932112
133	0.1038585774
134	0.1038204739
135	0.1036690325
136	0.1036352466
137	0.1035953167
138	0.1034427308
139	0.1033921813
140	0.1033464552
141	0.1032847846
142	0.1031262628
143	0.1030754806
144	0.1030323383
145	0.1029952976
146	0.1028096642
147	0.1027330587
148	0.1025003481
149	0.102227613
150	0.1021842892
151	0.1021458263
152	0.1020871081
153	0.1020597251
154	0.1018231535
155	0.1017860007
156	0.1017474832
157	0.1017177344
158	0.1016789802
159	0.1016491943
160	0.1015090761
161	0.1014810121
162	0.101454609
163	0.1014121829
164	0.1012811236
165	0.1012445069
166	0.1012172818
167	0.101184224
168	0.1011517026
169	0.1010856645
170	0.1009156269
171	0.1008809815
172	0.1007041538
173	0.1006795847
174	0.1006428616
175	0.1006224571
176	0.1005876401
177	0.1005641344
178	0.1005444183
179	0.1005224796
180	0.1004891426
181	0.1004202178
182	0.100393734
183	0.1003764881
184	0.1003200402
185	0.1002847409
186	0.100251934
187	0.1002241851
188	0.1001955439
189	0.1000832603
190	0.1000349456
191	0.100009752
192	0.09998792263
193	0.09996106421
194	0.09978557392
195	0.09973772377
196	0.09971517242
197	0.09969584311
198	0.09957128101
199	0.09943292595
200	0.09925728043
201	0.09923847687
202	0.09920965215
203	0.09907236706
204	0.09905685381
205	0.09903180204
206	0.0990036764
207	0.098986579
208	0.09884076047
209	0.09880576743
210	0.09874086818
211	0.09861492303
212	0.09859941029
213	0.09856689773
214	0.09853364439
215	0.09851425785
216	0.09842898012
217	0.09834967225
218	0.09832592277
219	0.09830212442
220	0.09827180532
221	0.09825451821
222	0.09822843538
223	0.09821193848
224	0.09818659582
225	0.09816617106
226	0.0981504454
227	0.09813087281
228	0.09810390684
229	0.0980863828
230	0.09801907822
231	0.09799500986
232	0.09796755562
233	0.09793725161
234	0.09782831869
235	0.0978077808
236	0.09770906082
237	0.09768869605
238	0.09765284506
239	0.09763091873
240	0.09757326775
241	0.09754608314
242	0.09746679701
243	0.0973709895
244	0.09735210138
245	0.09733708564
246	0.09731849239
247	0.09729311777
248	0.09727367008
249	0.09724848085
250	0.09722942509
251	0.09719535812
252	0.09717718036
253	0.09716121392
254	0.09714475013
255	0.09712485866
256	0.09704552697
257	0.09702145991
258	0.09701007296
259	0.0969883083
260	0.09691231996
261	0.09688421376
262	0.09676713295
263	0.09672437808
264	0.0966795927
265	0.09665802908
266	0.09663163551
267	0.09653818146
268	0.09645099155
269	0.09643109337
270	0.09641704044
271	0.09639489417
272	0.0962936801
273	0.09627013774
274	0.09620442772
275	0.09618293631
276	0.09616118872
277	0.09613355946
278	0.09611791531
279	0.09606344545
280	0.09596301839
281	0.09593882712
282	0.09591453891
283	0.09590240014
284	0.09588461573
285	0.09586401763
286	0.0957793878
287	0.09574707049
288	0.09565094745
289	0.09550720149
290	0.09547860527
291	0.09539001725
292	0.09532911308
293	0.09530600764
294	0.09528765847
295	0.0952149118
296	0.0951885943
297	0.09516859495
298	0.09515943491
299	0.09511329287
