iter	Logloss
0	0.6051447245
1	0.5474289935
2	0.4984237139
3	0.4568728382
4	0.4208329061
5	0.3919933993
6	0.3660563111
7	0.3392907808
8	0.3172829902
9	0.3035494433
10	0.2885615081
11	0.270028816
12	0.2590017651
13	0.2476010185
14	0.2385371389
15	0.2312230212
16	0.2235463902
17	0.2154915617
18	0.2090836181
19	0.2041373613
20	0.1972903897
21	0.1937904445
22	0.1900981872
23	0.1861184947
24	0.1812405832
25	0.1784844652
26	0.1747338553
27	0.1705621548
28	0.1677455628
29	0.1647745893
30	0.1609031022
31	0.15876071
32	0.1555565165
33	0.1540528476
34	0.1525726867
35	0.1503125782
36	0.14932056
37	0.1474744432
38	0.1457765234
39	0.1448138185
40	0.1437619139
41	0.1426575878
42	0.1410490849
43	0.1397215856
44	0.1386589667
45	0.1373468917
46	0.135478645
47	0.1338626931
48	0.1332040144
49	0.1320472192
50	0.1309451466
51	0.1304041328
52	0.1297559492
53	0.1291958829
54	0.1283197998
55	0.1278198528
56	0.1266949021
57	0.1263301696
58	0.1258848756
59	0.1253642599
60	0.1244914129
61	0.1239133699
62	0.1233994309
63	0.1227478351
64	0.1222539315
65	0.121648155
66	0.1213355767
67	0.1203000473
68	0.1199428262
69	0.1194581424
70	0.1191487283
71	0.1187708151
72	0.1183480804
73	0.1178440874
74	0.1175629153
75	0.1173580757
76	0.1167090833
77	0.1162735887
78	0.1158729843
79	0.1156082507
80	0.1151162228
81	0.1149113269
82	0.1146679439
83	0.1143501552
84	0.1140701081
85	0.1138461265
86	0.1136672763
87	0.1132610337
88	0.1129617262
89	0.1127239308
90	0.1125030022
91	0.1122948116
92	0.1116673311
93	0.1113912494
94	0.110959126
95	0.1108069806
96	0.1107008703
97	0.1101966989
98	0.1096924683
99	0.1094684676
100	0.1090324319
101	0.1087404322
102	0.108563946
103	0.1080759041
104	0.1079056491
105	0.1077267288
106	0.1075621234
107	0.1073528279
108	0.1071527827
109	0.1067775508
110	0.1065359874
111	0.1063104561
112	0.1061818473
113	0.1060468027
114	0.1058292847
115	0.1055916599
116	0.1053181446
117	0.1050804426
118	0.104857605
119	0.1046404258
120	0.1044750436
121	0.1041629729
122	0.1037892782
123	0.1035866097
124	0.1034338032
125	0.1031032276
126	0.102891789
127	0.1026710786
128	0.1025423459
129	0.1023777927
130	0.1022120492
131	0.1020355628
132	0.1017966022
133	0.1016367887
134	0.1014344917
135	0.1012532208
136	0.1010299043
137	0.1009042936
138	0.1005532112
139	0.1003962878
140	0.1002527334
141	0.1000616056
142	0.09995493997
143	0.09975851745
144	0.09963001242
145	0.09945790348
146	0.09928900813
147	0.09913980454
148	0.09895753735
149	0.09873247222
150	0.09858714074
151	0.0984681885
152	0.09835351524
153	0.0982093174
154	0.09808605802
155	0.09788811333
156	0.09779801616
157	0.09768700708
158	0.09759261969
159	0.09735306081
160	0.09728947532
161	0.09710915404
162	0.09691335747
163	0.09680412153
164	0.09664090706
165	0.09642327818
166	0.09623507064
167	0.09613883777
168	0.09602513773
169	0.09589964473
170	0.09579917812
171	0.09565071592
172	0.09546692831
173	0.09536382451
174	0.09527603984
175	0.09518832991
176	0.09502194295
177	0.09486694288
178	0.09471867055
179	0.09455426033
180	0.09437623111
181	0.09430488593
182	0.09416797749
183	0.09401311268
184	0.0938871401
185	0.09375171002
186	0.09363983605
187	0.0934823246
188	0.09339751713
189	0.09322581263
190	0.09312068325
191	0.09299865806
192	0.09270563404
193	0.09257038233
194	0.09244292541
195	0.09228757135
196	0.09214430348
197	0.09196929246
198	0.09182183107
199	0.09168870916
200	0.09158396393
201	0.09148161239
202	0.0912459575
203	0.09100804165
204	0.090879104
205	0.09077482331
206	0.09063429475
207	0.09052610754
208	0.09041488116
209	0.09029503851
210	0.08999449943
211	0.08980452279
212	0.08970318388
213	0.08950373372
214	0.08940862922
215	0.08928130894
216	0.08913728024
217	0.08900709716
218	0.08890434224
219	0.0887878833
220	0.08863940712
221	0.0884746687
222	0.08835201979
223	0.08823543305
224	0.08812202936
225	0.08790859267
226	0.08778909176
227	0.08767906056
228	0.08760855945
229	0.08753616653
230	0.08741402937
231	0.08734676109
232	0.08719693823
233	0.08694440936
234	0.08685056652
235	0.08672338927
236	0.08662401524
237	0.08644836367
238	0.08637100954
239	0.08628672701
240	0.08615104248
241	0.08599736768
242	0.08586885168
243	0.08578614588
244	0.08568667614
245	0.08556089668
246	0.08548814116
247	0.0853936143
248	0.08525222256
249	0.08507450912
250	0.08496495468
251	0.0848247228
252	0.08473064275
253	0.08463204729
254	0.0845512026
255	0.08440124067
256	0.08430203066
257	0.08424689437
258	0.08407728287
259	0.08394904625
260	0.08381174573
261	0.08365573914
262	0.08355122222
263	0.08346398751
264	0.08335662073
265	0.08320074231
266	0.08309019299
267	0.08299048553
268	0.0828586158
269	0.08275126365
270	0.08264844186
271	0.08255020801
272	0.08246864787
273	0.08228736862
274	0.08217421159
275	0.08206560424
276	0.08191589843
277	0.08177508298
278	0.0816275109
279	0.08154728344
280	0.08142508821
281	0.08131503671
282	0.08119015337
283	0.08104461689
284	0.08092961714
285	0.08085577815
286	0.08078053918
287	0.08067386743
288	0.08057981333
289	0.08038339553
290	0.08028106489
291	0.08014892972
292	0.08008532487
293	0.07994162975
294	0.0797273867
295	0.07963761205
296	0.0795430433
297	0.07945821518
298	0.07934715671
299	0.07927470423
