iter	Logloss
0	0.5993422608
1	0.5315048126
2	0.4686495215
3	0.415057067
4	0.3748544582
5	0.3467255287
6	0.3227220603
7	0.298524187
8	0.2806099779
9	0.2643915086
10	0.2519726947
11	0.2406921992
12	0.2290726936
13	0.2169514463
14	0.2076680472
15	0.2011144244
16	0.1910196485
17	0.1854847051
18	0.1776710259
19	0.1723153918
20	0.1676016122
21	0.1636069367
22	0.1595402439
23	0.1563737595
24	0.1533990124
25	0.1511845383
26	0.1484496876
27	0.1451715564
28	0.1435172233
29	0.140781043
30	0.1385398689
31	0.136896228
32	0.1354305894
33	0.1334799236
34	0.1314759842
35	0.1304371127
36	0.1295180799
37	0.1284746164
38	0.1277591112
39	0.1264023294
40	0.1256321873
41	0.1247970017
42	0.123803684
43	0.122918904
44	0.12237638
45	0.1212814698
46	0.1205978458
47	0.1200732705
48	0.119182967
49	0.1187993792
50	0.1183721143
51	0.1180051749
52	0.1174626346
53	0.1171526807
54	0.116451625
55	0.1161685497
56	0.1159540906
57	0.1150168765
58	0.114765124
59	0.1144969085
60	0.1142647385
61	0.1137528727
62	0.1135872161
63	0.1134322499
64	0.1130319564
65	0.1129030558
66	0.1127780552
67	0.1124894372
68	0.1123661898
69	0.1119260259
70	0.1117725721
71	0.1112906416
72	0.1111924914
73	0.1110615391
74	0.1109886967
75	0.1109031424
76	0.110826548
77	0.1107045435
78	0.1105816376
79	0.1104802667
80	0.1104036833
81	0.1103236573
82	0.1098969693
83	0.1098336857
84	0.1097738346
85	0.1097081953
86	0.1096397249
87	0.1095790137
88	0.109274242
89	0.1092150863
90	0.109143743
91	0.1090722352
92	0.1089908784
93	0.108922359
94	0.1088681972
95	0.1088172974
96	0.1087762304
97	0.1087278716
98	0.1086832774
99	0.1086191541
100	0.1085686773
101	0.1085249548
102	0.1084707556
103	0.1084080701
104	0.1083494577
105	0.1082788822
106	0.1082262998
107	0.1081694192
108	0.1081171442
109	0.1080628763
110	0.107860952
111	0.1078191663
112	0.1077663169
113	0.1077328779
114	0.1076978711
115	0.1076560908
116	0.1076182544
117	0.1075757362
118	0.1075391
119	0.1074897609
120	0.1074588822
121	0.1074182037
122	0.1073862941
123	0.1073464456
124	0.1073189443
125	0.1072779122
126	0.1072447462
127	0.1072040416
128	0.1071102584
129	0.1070690447
130	0.1070486593
131	0.1070145403
132	0.106987446
133	0.1069509753
134	0.1069064402
135	0.1068707181
136	0.1068410808
137	0.1068155114
138	0.1067717552
139	0.1067351141
140	0.1067013809
141	0.1066687412
142	0.1066486884
143	0.1066195785
144	0.1065946064
145	0.1065612843
146	0.1065259833
147	0.1063481357
148	0.1063196957
149	0.106291714
150	0.1062683592
151	0.106235275
152	0.1062031705
153	0.1061690933
154	0.1060664133
155	0.1060464453
156	0.1060158666
157	0.1059896783
158	0.1059484482
159	0.1059237946
160	0.105899766
161	0.1058232483
162	0.105793116
163	0.1057639188
164	0.1057363437
165	0.1057047944
166	0.1056753986
167	0.1056411051
168	0.1053964466
169	0.1053709036
170	0.1053516995
171	0.1053216806
172	0.1053039494
173	0.1051275746
174	0.1051006155
175	0.1050784089
176	0.1050524839
177	0.1050289799
178	0.1050009018
179	0.1049701523
180	0.1049475932
181	0.1049250851
182	0.1049010784
183	0.1048773508
184	0.1048546392
185	0.1048329405
186	0.1048098443
187	0.1047847134
188	0.1047471826
189	0.1047096363
190	0.1046839685
191	0.1045393836
192	0.104519888
193	0.1044951295
194	0.1044736673
195	0.104446343
196	0.1044203857
197	0.104394799
198	0.104370992
199	0.1043522921
200	0.1043293639
201	0.104300658
202	0.1042785381
203	0.1042536436
204	0.1042309192
205	0.104065628
206	0.1040414591
207	0.1040196293
208	0.1040002075
209	0.1038856162
210	0.1038622148
211	0.1038345331
212	0.1038090816
213	0.1037913499
214	0.1037707747
215	0.1037507304
216	0.1037259903
217	0.1037045256
218	0.1036815327
219	0.1036610402
220	0.1036318336
221	0.1036045747
222	0.1035834688
223	0.1035611789
224	0.1035385612
225	0.1035079786
226	0.1034859501
227	0.1034723812
228	0.1034558367
229	0.1034285523
230	0.103298976
231	0.103278322
232	0.1032516709
233	0.1032276866
234	0.1031975715
235	0.1031757444
236	0.103156288
237	0.1031314621
238	0.1031120022
239	0.1030914615
240	0.1030698562
241	0.1030494281
242	0.1030322585
243	0.1030102595
244	0.1029918446
245	0.1029652971
246	0.1029395465
247	0.1029145977
248	0.1028948335
249	0.1028707863
250	0.1028517359
251	0.1028395247
252	0.102812273
253	0.1027894568
254	0.1027674997
255	0.1026709173
256	0.1026530429
257	0.102639103
258	0.1026240393
259	0.102605681
260	0.102579885
261	0.1025544776
262	0.1025338864
263	0.1025138231
264	0.1023787089
265	0.1023542012
266	0.1023457573
267	0.1023254971
268	0.102177071
269	0.1021560927
270	0.1021362596
271	0.1021161057
272	0.102094593
273	0.1020773253
274	0.1020603631
275	0.1020316835
276	0.1020063384
277	0.1019841319
278	0.1019661158
279	0.101949544
280	0.1019274541
281	0.1019089955
282	0.1018936834
283	0.1018736902
284	0.1018553771
285	0.1018327168
286	0.1018140366
287	0.1017930879
288	0.1017736963
289	0.1017583455
290	0.1017426998
291	0.1017184895
292	0.1017017458
293	0.1016866366
294	0.1016656688
295	0.1016514327
296	0.1016380636
297	0.1016141822
298	0.1015936465
299	0.1015760752
